"first line in chunk: [name, number_of_threads, number_of_trials], next lines: [iters, successful_iters, duration_in_ns] repeating number_of_trials times. This then repeats."
2387374, 2387374, 45425400, 1848667, 1848667, 47801500, 2239742, 2239742, 47960200, 2460012, 2460012, 45987800, 2585855, 2585855, 47956800, 1954597, 1954597, 45979300, 1925565, 1925565, 47992400, 1889825, 1889825, 47970900, 2513615, 2513615, 47976200, 2232564, 2232564, 45985600
1815357, 1815357, 45425400, 2248356, 2248356, 47801400, 1879655, 1879655, 47960200, 1736834, 1736834, 45983400, 1973858, 1973858, 47953100, 2095438, 2095438, 45977500, 1934606, 1934606, 47992400, 1573866, 1573866, 47971000, 2095992, 2095992, 47976800, 2067794, 2067794, 45985000
2194721, 2194721, 45512200, 1560741, 1560741, 47801000, 1843451, 1843451, 47960300, 1569092, 1569092, 45983400, 2137927, 2137927, 47956500, 1906068, 1906068, 45986700, 2115595, 2115595, 47992800, 2198813, 2198813, 47971300, 2420408, 2420408, 47976800, 2011170, 2011170, 45985500
1752187, 1752187, 45425400, 1985527, 1985527, 47801400, 2146038, 2146038, 47959700, 1722337, 1722337, 45983600, 2268034, 2268034, 47956600, 1906432, 1906432, 45978200, 2082053, 2082053, 47992200, 2214159, 2214159, 47971300, 2063507, 2063507, 47976800, 1875350, 1875350, 45989400
"load", 7, 10
1915667, 1915667, 45345000, 1946803, 1946803, 47997900, 1895610, 1895610, 47952300, 1766597, 1766597, 48000900, 1570912, 1570912, 47010700, 2135522, 2135522, 47925800, 2550350, 2550350, 48014700, 2216386, 2216386, 46945200, 1823123, 1823123, 46027700, 1976478, 1976478, 47924500
1983137, 1983137, 45343000, 2112996, 2112996, 47997900, 1571442, 1571442, 47952000, 2240703, 2240703, 48001000, 2069112, 2069112, 47010700, 1888222, 1888222, 47925900, 1857936, 1857936, 48014500, 1801728, 1801728, 46939500, 1783792, 1783792, 46027700, 2133786, 2133786, 47924500
1526236, 1526236, 45343000, 1579755, 1579755, 47997800, 2250680, 2250680, 47952300, 2590862, 2590862, 48001000, 1960678, 1960678, 47010700, 1925406, 1925406, 47925900, 1805249, 1805249, 48014600, 1523615, 1523615, 46942500, 1922924, 1922924, 46028400, 1685089, 1685089, 47924500
1539133, 1539133, 45343000, 1584884, 1584884, 47998000, 2303783, 2303783, 47952200, 2390270, 2390270, 48000900, 1905320, 1905320, 47009100, 2302768, 2302768, 47925800, 1536575, 1536575, 48014600, 1585363, 1585363, 46939600, 1649500, 1649500, 46027800, 1568630, 1568630, 47924500
2183611, 2183611, 45343100, 1581192, 1581192, 47997900, 1865887, 1865887, 47952300, 1851334, 1851334, 48000900, 2230863, 2230863, 47010800, 2581082, 2581082, 47925800, 1882554, 1882554, 48014700, 2149493, 2149493, 46939600, 1785601, 1785601, 46027700, 2095560, 2095560, 47924500
