"Version:1. Each line [benchmark_name, operation_name, thread_index, number_of_threads, number_of_trials] then [iters, successful_iters, duration_in_ns] repeating number_of_trials times."
"distributed 32 faa random", , 3, 12, 10, 284001, 284001, 14301500, 292001, 292001, 14319800, 230001, 230001, 14286900, 227001, 227001, 14347600, 149001, 149001, 14284800, 217001, 217001, 15979600, 281001, 281001, 14271300, 287001, 287001, 14330000, 287001, 287001, 14323000, 259001, 259001, 14301000
"distributed 32 faa random", , 4, 12, 10, 283001, 283001, 14314800, 268001, 268001, 14321600, 288001, 288001, 14325600, 278001, 278001, 14332000, 262001, 262001, 14321600, 286001, 286001, 14307500, 283001, 283001, 14296000, 284001, 284001, 14303400, 279001, 279001, 14322000, 284001, 284001, 14421200
"distributed 32 faa random", , 5, 12, 10, 281001, 281001, 14310000, 265001, 265001, 14307300, 263001, 263001, 14316800, 274001, 274001, 14292500, 265001, 265001, 14320300, 282001, 282001, 14312500, 282001, 282001, 14319600, 282001, 282001, 14318100, 267001, 267001, 14294000, 286001, 286001, 14295100
"distributed 32 faa tid hash", , 0, 3, 10, 451001, 451001, 14300800, 832001, 832001, 14289700, 839001, 839001, 14300800, 870001, 870001, 14302000, 835001, 835001, 14286400, 850001, 850001, 14286700, 852001, 852001, 14286500, 852001, 852001, 14291700, 856001, 856001, 14289200, 856001, 856001, 14287000
"distributed 32 faa tid hash", , 0, 5, 10, 225001, 225001, 14292100, 254001, 254001, 14319700, 240001, 240001, 14324000, 228001, 228001, 14316400, 471001, 471001, 14299700, 249001, 249001, 14302000, 258001, 258001, 14302800, 234001, 234001, 14312100, 285001, 285001, 14319200, 229001, 229001, 14329900
"distributed 32 faa tid hash", , 1, 5, 10, 226001, 226001, 14292400, 219001, 219001, 14323400, 220001, 220001, 14320400, 231001, 231001, 14324400, 470001, 470001, 14294900, 247001, 247001, 14305000, 242001, 242001, 14291100, 234001, 234001, 14318200, 217001, 217001, 14325200, 235001, 235001, 14334400
"distributed 32 faa tid hash", , 0, 7, 10, 616001, 616001, 14309900, 447001, 447001, 14300900, 463001, 463001, 14309000, 715001, 715001, 14307600, 781001, 781001, 14301500, 830001, 830001, 14300500, 469001, 469001, 14307400, 506001, 506001, 14292600, 836001, 836001, 14286700, 472001, 472001, 14288100
"distributed 32 faa tid hash", , 1, 7, 10, 859001, 859001, 14301400, 458001, 458001, 14300900, 848001, 848001, 14290000, 742001, 742001, 14310400, 502001, 502001, 14303900, 472001, 472001, 14286500, 472001, 472001, 14295100, 468001, 468001, 14299100, 466001, 466001, 14295800, 478001, 478001, 14302900
"distributed 32 faa tid hash", , 2, 7, 10, 621001, 621001, 14299100, 630001, 630001, 14296000, 713001, 713001, 14307500, 559001, 559001, 14295400, 454001, 454001, 14309500, 569001, 569001, 14301700, 471001, 471001, 14301900, 796001, 796001, 14301900, 841001, 841001, 14300000, 847001, 847001, 14299200
"distributed 32 faa tid hash", , 0, 9, 10, 583001, 583001, 14289000, 494001, 494001, 14289300, 469001, 469001, 14289700, 471001, 471001, 14286600, 462001, 462001, 14302000, 456001, 456001, 14297800, 457001, 457001, 14303500, 456001, 456001, 14314600, 478001, 478001, 14296200, 831001, 831001, 14286400
